StudentId,Contagem
10001462,6
10001595,6
10008669,5
10011672,5
1001195,4
1001452,5
10015104,24
10019898,5
10020243,5
10025137,5
1002958,5
10029950,6
10032672,7
10036170,6
10036890,6
10037112,7
1004050,6
10042096,5
10042847,6
10042879,5
1004441,7
10044760,4
10049673,5
10050950,7
10053287,5
10053771,5
10054028,6
10054766,5
100567,6
10057528,6
10058552,5
10060311,5
10060403,5
10061222,5
10065795,8
10067424,6
10067700,6
10068759,5
10069248,3
10072540,6
10072751,5
1007293,4
10073497,5
10074187,5
10074635,1
10075294,6
10076003,5
10076492,9
10076652,5
10076956,5
10077825,4
10079710,3
10080294,7
10082433,5
10082513,5
10082906,5
10083230,9
10085265,5
10086772,6
10086927,5
10087069,6
10093042,5
10095183,5
10099439,6
10099762,4
10099764,7
10100215,5
10100713,5
10100856,6
10101760,5
10104752,1
10107008,5
10107326,5
10109176,8
10111395,5
10111478,5
10114462,10
10115005,13
1011589,6
10116975,7
10117357,6
10119164,3
10120287,5
10123966,5
10124300,5
10124454,1
1012490,12
10126527,5
10129911,5
10132408,4
10134612,5
10134831,5
10143218,7
10145880,5
10146967,2
10149762,5
10151447,6
10151851,5
10152942,5
10156349,6
10156444,5
10156872,5
10158680,6
10159924,10
10161201,6
10162662,7
101632,3
10164560,4
1016646,5
1016676,1
10169644,1
10171071,5
10171559,6
10175136,6
10177030,5
10180741,3
10183654,6
10184870,5
10185119,5
10185249,6
10185677,4
10186483,5
1018715,5
10188355,5
10188796,4
10189370,6
10193668,7
10195767,5
10196241,5
10202162,5
10202174,5
10203719,6
10204187,3
1020512,5
10206729,5
10207162,5
10207587,5
10209592,6
10209847,7
1021148,6
10211976,5
10215121,5
10215354,5
10216975,5
1021751,6
10220040,4
10221869,5
10221994,10
10222157,4
102235,5
10226266,7
10227432,7
1023411,5
10234162,5
10236951,5
10238881,5
10240733,5
10245107,5
10250574,5
10253834,6
10255863,4
10256037,1
10256165,7
10257230,6
10257747,5
10257856,5
10261740,5
10263396,5
10264362,5
10266062,5
10266294,6
10266393,5
10268147,5
10269728,5
10269997,2
10270687,3
10270954,5
10272733,5
10274353,10
10275162,6
10283504,5
10284437,5
1028886,5
10289241,5
10289633,5
10290966,10
1029195,5
10292716,5
10293574,5
10297370,6
10297391,6
10299615,5
1030141,7
10304059,5
10307096,5
10307299,1
10307674,7
10310661,5
103114,5
10315500,8
10315971,6
10316647,6
10318123,5
10320073,6
10320818,5
10320909,5
10322685,5
10324177,4
10326213,5
10326750,6
10327205,6
10332345,5
1033399,5
10335087,4
10336025,5
10337241,5
10338093,4
10339718,5
10339746,5
10340686,5
10342260,5
10343865,10
10348441,5
10348901,8
10349613,5
10349813,6
10350165,14
10351269,6
10351668,4
10352851,5
10354085,2
10354592,6
10356338,7
10357747,6
10360644,5
10363759,5
10365311,5
10374477,4
10374991,5
10375489,6
10376998,3
10378557,1
10378817,5
10379877,7
10381734,6
10385696,10
10386226,6
10388131,3
10388877,6
10391405,8
10393948,9
10394478,5
1039793,5
10398028,5
10400966,4
1040485,5
10405045,2
10406867,6
10407004,5
10408453,6
10413889,5
10416213,4
10419896,6
10421462,5
10421578,6
10422243,5
10431123,5
10432443,3
10433560,6
10437558,5
10439346,5
10440260,4
10440744,6
10447560,5
10448309,5
10449768,5
10450370,8
10450551,5
10452833,5
10453961,6
1045422,6
10454557,6
10458258,5
10460379,5
10460665,4
10461497,6
10461588,3
10461652,6
10463304,9
10464753,4
10466280,2
10467206,6
10469292,5
104736,5
1047404,4
10474742,8
10475328,6
10476311,4
10479436,3
10482725,6
10485055,4
10485065,8
1048678,6
10486889,6
1048959,6
10492632,6
10492929,1
10493628,12
10496902,5
10498831,5
1049936,5
10500646,5
1050098,6
